Order Date,Year,Month,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity
1/10/2021,2021,January,Corporate,Springfield,Virginia,South,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock","62,33",1
1/11/2021,2021,January,Consumer,Dover,Delaware,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back","11,93",2
1/13/2021,2021,January,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,Staple envelope,"13,63",2
1/13/2021,2021,January,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,"61,13",3
1/13/2021,2021,January,Corporate,Bossier City,Louisiana,South,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,"776,09",6
1/13/2021,2021,January,Corporate,Bossier City,Louisiana,South,Office Supplies,Binders,3-ring staple pack,"6,77",3
1/13/2021,2021,January,Corporate,Bossier City,Louisiana,South,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,"687,1",6
1/13/2021,2021,January,Consumer,Mount Pleasant,South Carolina,South,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,"655,13",6
1/13/2021,2021,January,Consumer,San Francisco,California,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,"1591,02",5
1/13/2021,2021,January,Consumer,San Francisco,California,West,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish","400,8",3
1/13/2021,2021,January,Consumer,San Francisco,California,West,Office Supplies,Art,4009 Highlighters by Sanford,"23,88",5
1/13/2021,2021,January,Consumer,Newark,Ohio,East,Office Supplies,Paper,Xerox 1923,"44,89",7
1/13/2021,2021,January,Consumer,Newark,Ohio,East,Office Supplies,Binders,Avery Metallic Poly Binders,"4,13",2
1/14/2021,2021,January,Corporate,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,"74,35",4
1/15/2021,2021,January,Consumer,Roswell,Georgia,South,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,"179,94",5
1/16/2021,2021,January,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,"152,52",6
1/16/2021,2021,January,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,AT&T 841000 Phone,"149,04",3
1/16/2021,2021,January,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,GBC Linen Binding Covers,"22,31",2
1/16/2021,2021,January,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,Round Specialty Laser Printer Labels,"36,09",3
1/18/2021,2021,January,Corporate,Springfield,Oregon,West,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,"77,84",4
1/19/2021,2021,January,Consumer,Scottsdale,Arizona,West,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","38,81",10
1/19/2021,2021,January,Consumer,Scottsdale,Arizona,West,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page","67,28",4
1/19/2021,2021,January,Consumer,Scottsdale,Arizona,West,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","130,46",5
1/19/2021,2021,January,Consumer,Scottsdale,Arizona,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,"217,76",5
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Technology,Phones,Apple iPhone 5C,"839,92",7
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 351,"27,55",7
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","46,32",4
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Office Supplies,Art,Newell 327,"7,96",3
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Office Supplies,Envelopes,Staple envelope,"28,01",3
1/20/2021,2021,January,Consumer,Jonesboro,Arkansas,South,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,"1281,53",3
1/20/2021,2021,January,Consumer,Los Angeles,California,West,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""","23,23",2
1/20/2021,2021,January,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","23,16",2
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,"16,78",1
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,"327,53",3
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","22,86",5
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","297,26",4
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,"79,9",2
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,"52,7",3
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Furniture,Furnishings,Ultra Door Push Plate,"17,68",3
1/20/2021,2021,January,Consumer,Westland,Michigan,Central,Office Supplies,Binders,Storex Dura Pro Binders,"35,64",5
1/20/2021,2021,January,Corporate,Smyrna,Tennessee,South,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,"80,63",1
1/21/2021,2021,January,Consumer,Miami,Florida,South,Furniture,Furnishings,Ultra Door Pull Handle,"30,3",3
1/23/2021,2021,January,Consumer,Las Vegas,Nevada,West,Office Supplies,Paper,Xerox 195,"48,1",6
1/23/2021,2021,January,Consumer,Lafayette,Indiana,Central,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack","7,13",3
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack","75,38",3
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h","587,9",8
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream","23,33",3
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages","20,02",2
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Technology,Phones,Macally Suction Cup Mount,"186,42",13
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,"14,9",3
1/26/2021,2021,January,Home Office,Alexandria,Virginia,South,Technology,Phones,Jabra SPEAK 410,"225,58",2
1/26/2021,2021,January,Corporate,Rapid City,South Dakota,Central,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,"12,82",2
1/26/2021,2021,January,Corporate,Rapid City,South Dakota,Central,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray","170,35",2
1/27/2021,2021,January,Consumer,San Diego,California,West,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,"68,68",1
1/27/2021,2021,January,Consumer,San Diego,California,West,Furniture,Tables,Balt Split Level Computer Training Table,"399,6",3
1/27/2021,2021,January,Consumer,San Diego,California,West,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,"43,73",4
1/28/2021,2021,January,Consumer,New York City,New York,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","4,71",1
1/30/2021,2021,January,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,Xerox 1972,"12,67",2
1/30/2021,2021,January,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,"275,93",2
1/31/2021,2021,January,Consumer,Mission Viejo,California,West,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish","348,8",2
2/1/2021,2021,February,Consumer,Green Bay,Wisconsin,Central,Technology,Accessories,Enermax Aurora Lite Keyboard,"562,68",6
2/2/2021,2021,February,Home Office,San Diego,California,West,Office Supplies,Fasteners,Staples,"14,82",5
2/2/2021,2021,February,Consumer,Saint Petersburg,Florida,South,Office Supplies,Binders,Surelock Post Binders,22,2
2/2/2021,2021,February,Consumer,Saint Petersburg,Florida,South,Technology,Phones,AT&T 17929 Lendline Telephone,"217,15",5
2/3/2021,2021,February,Consumer,Seattle,Washington,West,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,"100,61",2
2/3/2021,2021,February,Consumer,Seattle,Washington,West,Office Supplies,Binders,Avery Durable Poly Binders,"15,93",3
2/4/2021,2021,February,Home Office,San Diego,California,West,Office Supplies,Binders,GBC Recycled Grain Textured Covers,"99,48",3
2/4/2021,2021,February,Home Office,San Diego,California,West,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book","41,09",4
2/4/2021,2021,February,Corporate,Escondido,California,West,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","20,7",2
2/6/2021,2021,February,Corporate,Chesapeake,Virginia,South,Office Supplies,Labels,Avery 480,18,4
2/6/2021,2021,February,Corporate,Chesapeake,Virginia,South,Technology,Phones,Aastra 57i VoIP phone,"193,93",1
2/6/2021,2021,February,Corporate,Chesapeake,Virginia,South,Technology,Phones,AT&T CL82213,"173,94",5
2/6/2021,2021,February,Consumer,Romeoville,Illinois,Central,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black","10,74",2
2/7/2021,2021,February,Corporate,Linden,New Jersey,East,Technology,Accessories,Maxell DVD-RAM Discs,"138,43",7
2/7/2021,2021,February,Corporate,New York City,New York,East,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,"77,95",4
2/8/2021,2021,February,Home Office,North Las Vegas,Nevada,West,Furniture,Furnishings,"Master Caster Door Stop, Large Brown","17,47",2
2/11/2021,2021,February,Consumer,Chesapeake,Virginia,South,Technology,Accessories,Enermax Aurora Lite Keyboard,"281,34",3
2/11/2021,2021,February,Consumer,Chesapeake,Virginia,South,Furniture,Tables,Hon 2111 Invitation Series Corner Table,"1507,46",6
2/11/2021,2021,February,Consumer,Chesapeake,Virginia,South,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"20,95",2
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray","73,07",1
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Office Supplies,Labels,Avery 483,"17,93",3
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,"11,57",2
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle","399,53",3
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,VariCap6 Expandable Binder,"62,28",3
2/11/2021,2021,February,Consumer,Columbia,Missouri,Central,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,"77,95",2
2/12/2021,2021,February,Consumer,Concord,California,West,Furniture,Chairs,"Global Geo Office Task Chair, Gray","155,48",2
2/14/2021,2021,February,Consumer,Houston,Texas,Central,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”","19,41",3
2/14/2021,2021,February,Corporate,Seattle,Washington,West,Technology,Accessories,Logitech G600 MMO Gaming Mouse,"287,96",3
2/14/2021,2021,February,Corporate,Seattle,Washington,West,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,"98,35",2
2/14/2021,2021,February,Corporate,Seattle,Washington,West,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,"286,34",2
2/15/2021,2021,February,Corporate,Seattle,Washington,West,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,"25,63",5
2/16/2021,2021,February,Consumer,Dallas,Texas,Central,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,"1,3",3
2/16/2021,2021,February,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter","9,55",2
2/17/2021,2021,February,Consumer,Chicago,Illinois,Central,Office Supplies,Art,Staples in misc. colors,"65,05",14
2/18/2021,2021,February,Consumer,Lubbock,Texas,Central,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size","30,19",5
2/18/2021,2021,February,Consumer,Arlington,Texas,Central,Office Supplies,Storage,Akro Stacking Bins,"15,15",2
2/20/2021,2021,February,Corporate,Richmond,Indiana,Central,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,"74,77",3
2/20/2021,2021,February,Corporate,Richmond,Indiana,Central,Furniture,Furnishings,"Master Caster Door Stop, Brown","24,38",4
2/20/2021,2021,February,Home Office,Los Angeles,California,West,Office Supplies,Paper,Xerox 204,"15,55",2
2/21/2021,2021,February,Consumer,Woodstock,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,"10,62",5
2/22/2021,2021,February,Consumer,Moreno Valley,California,West,Office Supplies,Paper,Xerox 220,"23,33",3
2/23/2021,2021,February,Home Office,El Paso,Texas,Central,Office Supplies,Labels,Staple-on labels,"8,32",3
2/23/2021,2021,February,Home Office,El Paso,Texas,Central,Office Supplies,Binders,GBC Plastic Binding Combs,"5,31",3
2/24/2021,2021,February,Consumer,Medford,Oregon,West,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book","39,48",4
2/24/2021,2021,February,Consumer,Medford,Oregon,West,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack","27,33",3
2/27/2021,2021,February,Consumer,Columbus,Ohio,East,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,"23,35",4
3/1/2021,2021,March,Consumer,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"549,08",2
3/1/2021,2021,March,Home Office,New York City,New York,East,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,"7,13",3
3/1/2021,2021,March,Home Office,Elmhurst,Illinois,Central,Furniture,Chairs,Novimex Swivel Fabric Task Chair,"760,94",6
3/1/2021,2021,March,Home Office,Elmhurst,Illinois,Central,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book","20,97",3
3/1/2021,2021,March,Consumer,El Paso,Texas,Central,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,"22,61",5
3/1/2021,2021,March,Consumer,El Paso,Texas,Central,Furniture,Chairs,Harbour Creations Steel Folding Chair,"434,7",6
3/1/2021,2021,March,Consumer,El Paso,Texas,Central,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,"76,26",6
3/1/2021,2021,March,Consumer,El Paso,Texas,Central,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,"155,46",3
3/1/2021,2021,March,Consumer,Houston,Texas,Central,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,"164,82",3
3/1/2021,2021,March,Consumer,Houston,Texas,Central,Furniture,Tables,Bevis Round Conference Room Tables and Bases,"451,81",3
3/2/2021,2021,March,Home Office,New York City,New York,East,Office Supplies,Envelopes,Staple envelope,"13,63",2
3/2/2021,2021,March,Home Office,New York City,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors","43,68",5
3/2/2021,2021,March,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Xerox 1971,"4,11",1
3/2/2021,2021,March,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,Hypercom P1300 Pinpad,"181,44",3
3/3/2021,2021,March,Consumer,Wilmington,North Carolina,South,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,"23,35",4
3/3/2021,2021,March,Home Office,New York City,New York,East,Technology,Phones,PowerGen Dual USB Car Charger,"11,99",1
3/3/2021,2021,March,Home Office,New York City,New York,East,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,"150,91",3
3/3/2021,2021,March,Home Office,New York City,New York,East,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips","30,38",5
3/3/2021,2021,March,Corporate,Columbus,Ohio,East,Office Supplies,Labels,Avery 495,"18,14",3
3/3/2021,2021,March,Corporate,Columbus,Ohio,East,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,"362,94",5
3/3/2021,2021,March,Corporate,Columbus,Ohio,East,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,"53,61",8
3/3/2021,2021,March,Consumer,Houston,Texas,Central,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,"212,13",3
3/3/2021,2021,March,Consumer,San Diego,California,West,Furniture,Tables,"Bevis Oval Conference Table, Walnut","751,62",3
3/4/2021,2021,March,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,"425,88",5
3/4/2021,2021,March,Consumer,Margate,Florida,South,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip","18,66",3
3/5/2021,2021,March,Consumer,Yonkers,New York,East,Office Supplies,Art,Newell 345,"71,42",3
3/5/2021,2021,March,Consumer,Yonkers,New York,East,Technology,Accessories,Logitech Wireless Gaming Headset G930,"575,96",3
3/5/2021,2021,March,Consumer,Yonkers,New York,East,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,"22,34",2
3/5/2021,2021,March,Consumer,Yonkers,New York,East,Office Supplies,Binders,GBC Wire Binding Combs,"59,56",6
3/5/2021,2021,March,Consumer,Yonkers,New York,East,Office Supplies,Paper,Xerox 1891,"117,38",2
3/7/2021,2021,March,Consumer,Seattle,Washington,West,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo","58,45",1
3/7/2021,2021,March,Consumer,Seattle,Washington,West,Office Supplies,Art,Newell 330,"21,53",3
3/7/2021,2021,March,Consumer,Seattle,Washington,West,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit","291,53",3
3/7/2021,2021,March,Home Office,Des Moines,Washington,West,Office Supplies,Binders,Catalog Binders with Expanding Posts,"129,18",2
3/7/2021,2021,March,Corporate,Seattle,Washington,West,Office Supplies,Art,Newell Chalk Holder,"24,78",5
3/7/2021,2021,March,Corporate,Seattle,Washington,West,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System","245,88",5
3/7/2021,2021,March,Corporate,Seattle,Washington,West,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,"524,04",6
3/7/2021,2021,March,Corporate,Seattle,Washington,West,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black","577,88",2
3/10/2021,2021,March,Consumer,Royal Oak,Michigan,Central,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""","26,86",2
3/10/2021,2021,March,Consumer,Denver,Colorado,West,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,"763,69",3
3/10/2021,2021,March,Consumer,Denver,Colorado,West,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black","99,8",4
3/11/2021,2021,March,Consumer,Columbus,Ohio,East,Furniture,Furnishings,Eldon Wave Desk Accessories,"9,98",5
3/11/2021,2021,March,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,Stockwell Push Pins,"12,56",6
3/11/2021,2021,March,Consumer,New York City,New York,East,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.","130,7",14
3/11/2021,2021,March,Corporate,Richmond,Kentucky,South,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote","176,11",3
3/11/2021,2021,March,Corporate,Richmond,Kentucky,South,Technology,Accessories,Maxell DVD-RAM Discs,"39,55",2
3/11/2021,2021,March,Corporate,Richmond,Kentucky,South,Technology,Phones,Panasonic KX-TG9471B,"705,56",3
3/11/2021,2021,March,Corporate,Richmond,Kentucky,South,Office Supplies,Paper,Xerox 198,"17,93",3
3/11/2021,2021,March,Consumer,Roseville,California,West,Office Supplies,Art,Economy #2 Pencils,"9,58",3
3/14/2021,2021,March,Corporate,Huntington Beach,California,West,Office Supplies,Paper,Xerox 1972,"12,67",2
3/14/2021,2021,March,Corporate,Huntington Beach,California,West,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,"4,06",1
3/14/2021,2021,March,Home Office,Chesapeake,Virginia,South,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,"1367,9",4
3/14/2021,2021,March,Consumer,Logan,Utah,West,Office Supplies,Binders,GBC Wire Binding Combs,"39,71",4
3/14/2021,2021,March,Consumer,Logan,Utah,West,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,"97,18",1
3/14/2021,2021,March,Consumer,Logan,Utah,West,Technology,Accessories,Imation 30456 USB Flash Drive 8GB,"99,36",12
3/14/2021,2021,March,Consumer,Logan,Utah,West,Office Supplies,Storage,Staple magnet,"25,63",2
3/14/2021,2021,March,Consumer,Logan,Utah,West,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""","74,46",2
3/14/2021,2021,March,Home Office,Chicago,Illinois,Central,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,"689,89",2
3/14/2021,2021,March,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Xerox 1963,"10,14",2
3/14/2021,2021,March,Home Office,Jacksonville,Florida,South,Office Supplies,Paper,Xerox 1887,"109,27",6
3/15/2021,2021,March,Consumer,Tampa,Florida,South,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand","171,33",1
3/15/2021,2021,March,Consumer,Tampa,Florida,South,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","54,84",3
3/15/2021,2021,March,Consumer,Tampa,Florida,South,Office Supplies,Binders,Insertable Tab Post Binder Dividers,"8,66",3
3/15/2021,2021,March,Consumer,Tampa,Florida,South,Office Supplies,Binders,GBC VeloBinder Manual Binding System,"51,83",4
3/15/2021,2021,March,Consumer,Tampa,Florida,South,Office Supplies,Paper,Xerox 1889,"158,28",3
3/16/2021,2021,March,Home Office,Raleigh,North Carolina,South,Technology,Phones,Polycom VoiceStation 500 Conference phone,"566,3",2
3/17/2021,2021,March,Consumer,Lakeville,Minnesota,Central,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,"112,54",2
3/17/2021,2021,March,Consumer,Lakeville,Minnesota,Central,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”","56,62",7
3/17/2021,2021,March,Consumer,Lakeville,Minnesota,Central,Office Supplies,Art,Newell 35,"23,62",6
3/17/2021,2021,March,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,"64,08",10
3/17/2021,2021,March,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,"43,06",6
3/17/2021,2021,March,Corporate,New York City,New York,East,Furniture,Tables,Bretford Rectangular Conference Table Tops,"1895,7",7
3/17/2021,2021,March,Corporate,New York City,New York,East,Furniture,Tables,Balt Solid Wood Round Tables,"1285,89",4
3/17/2021,2021,March,Corporate,New York City,New York,East,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer","736,69",3
3/17/2021,2021,March,Corporate,New York City,New York,East,Office Supplies,Paper,Xerox 1926,"41,83",7
3/17/2021,2021,March,Corporate,New York City,New York,East,Office Supplies,Paper,Xerox 1918,"186,05",4
3/17/2021,2021,March,Consumer,Dallas,Texas,Central,Office Supplies,Art,Newell 333,"5,34",2
3/17/2021,2021,March,Consumer,Dallas,Texas,Central,Office Supplies,Paper,Xerox 1966,"6,22",1
3/17/2021,2021,March,Consumer,Dallas,Texas,Central,Office Supplies,Paper,Xerox 1967,"18,66",3
3/17/2021,2021,March,Corporate,Jackson,Mississippi,South,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","13,72",3
3/17/2021,2021,March,Corporate,Jackson,Mississippi,South,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","36,53",2
3/17/2021,2021,March,Corporate,Jackson,Mississippi,South,Office Supplies,Paper,Xerox 1957,"15,55",2
